address,mls_number,status,original_price,property_type,commercial_rent,floors,total_sq_ft,bachelor,one_br,two_br,three_br,four_br,unknown,residential_rent,property_taxes,down_payment_pct,interest_rate,term_years,hold_years,expense_ratio,lease_type
"259 John St, Napanee",X12389434,inactive,797000,,,1,4250,0,4,1,0,,0,,6268,,,,,,
"2361 County Rd 45, Norwood",X12110485,active,2150000,,,2,11452,0,0,0,0,,5,,8855,,,,,,
"4249 Highway 7, Norwood",X12101919,inactive,400000,,,3,11840,0,1,2,0,,0,,2508.82,,,,,,
"27, 29, 31-35 King St E, Omemee",X12473392,active,900000,,,1,10173,0,0,0,0,0,0,,27000,,,,,,
"299 Bank St, Ottawa",X12407746,active,5850000,,,1,18000,0,0,0,0,0,0,,85915,,,,,,
"371-375 Bank St, Ottawa",X12403624,active,4250000,,,3,7930,0,0,0,0,0,6,,34633,,,,,,
"399 Bank St, Ottawa",X12282107,active,1800000,,,3,3900,0,0,0,0,0,6,,23056,,,,,,
"455-465 Bank St, Ottawa",X12424715,inactive,15250000,,,8,25896,0,0,0,0,0,0,,24.49,,,,,,
"350 Booth St, Ottawa",X12628958,active,2200000,,,2,4000,0,0,3,0,0,0,,16500,,,,,,
"378-380 Booth St, Ottawa",X12412705,inactive,1340000,,,2,3000,0,2,0,0,0,0,,7177,,,,,,
"684 Bronson Avenue, Ottawa",X12348217,active,700000,,,2,1750,0,1,0,0,0,0,,3587,,,,,,
"56 Byward Market Square, Ottawa",X12426641,active,1800000,,,1,4360,0,0,0,0,0,0,,23341,,,,,,
"205 Catherine St, Ottawa",X12560840,active,7500000,,,1,23354,0,0,0,0,0,0,,97080,,,,,,
"229 Charlotte St, Ottawa",X12494072,active,1600000,,,3,n/a,0,0,0,2,1,0,,10200,,,,,,
"721 Cooper St, Ottawa",X12468046,inactive,850000,,,2,1750,0,0,2,1,0,0,,7382,,,,,,
"43-45 Eccles St, Ottawa",X12749662 ,active,2800000,,,1,11755,0,0,0,0,0,0,,31150,,,,,,
"342 Frank St, Ottawa",X12629290,inactive,2500000,,,3,7500,0,0,1,6,0,0,,20242,,,,,,
"549 Gladstone Avenue, Ottawa",X12389075,active,950000,,,2,3600,0,0,0,0,0,3,,9874,,,,,,
"152 Goulburn Avenue, Ottawa",X12650766,inactive,2200000,,,2,0,0,2,2,2,0,0,,11645,,,,,,
"172-174 James St, Ottawa",X12410608,active,1600000,,,3,0,0,2,4,0,0,0,,13372,,,,,,
"104 King Edward Avenue, Ottawa",X12368070,active,700000,,,2,1500,0,1,1,0,0,0,,5885,,,,,,
"280 Laurier Avenue E, Ottawa",X12543018,inactive,18950000,,,6,9698,0,0,0,0,0,40,,84209,,,,,,
"486-488 Lisgar St, Ottawa",X12427393,inactive,1500000,,,3,4250,0,2,0,2,0,0,,10613,,,,,,
"507 McLeod St, Ottawa",X12441436,inactive,850000,,,2,2250,0,0,2,0,0,0,,7235,,,,,,
"171-179 Montreal Road, Ottawa",X12548500,active,4750000,,,2,15000,0,0,0,0,0,0,,120000,,,,,,
"89-91 Murray St, Ottawa",X12282844,active,1495000,,,3,4100,0,0,2,0,0,0,,25625,,,,,,
"184 Murray St, Ottawa",X12674878,active,1000000,,,3,2750,0,2,0,2,0,0,,12777,,,,,,
"393 Nelson St, Ottawa",X12494626,inactive,6795000,,,3,n/a,5,1,1,11,0,0,,54026,,,,,,
"146-160 Osgoode St, Ottawa",X12401678,active,14900000,,,2,n/a,0,0,0,0,0,68,,39552,,,,,,
"883 Somerset St W, Ottawa",X12541912,active,2300000,,,3,3261,0,0,0,0,0,8,,14150,,,,,,
"257 St Andrew St, Ottawa",X12654496,active,730000,,,2,2250,0,0,2,0,0,0,,6536,,,,,,
"305 Waverly St, Ottawa",X12132963,inactive,2500000,,,3,5800,2,3,4,0,0,0,,24891,,,,,,
"174 Albert St, Pembroke",X12358068,inactive,390000,,,1,6000,0,0,0,0,0,0,,11731,,,,,,
"186 Albert St, Pembroke",X12358027,inactive,200000,,,,,0,0,0,0,,0,,,,,,,,
"310 Murray St, Pembroke",X12614212,active,450000,,,2,???,0,0,1,1,0,0,,5744,,,,,,
"186 Pembroke St E, Pembroke",X12465112,inactive,530000,,,2,2030,0,0,1,0,0,0,,82852,,,,,,
"472 Pembroke St E, Pembroke",X12250292,inactive,269000,,,2,3130,0,0,0,1,0,0,,4517,,,,,,
"25-27 Pembroke St W, Pembroke",X10419094,inactive,600000,,,2,4700,0,3,0,0,,0,,10380,,,,,,
"45 Pembroke St W, Pembroke",X11930771,inactive,400000,,,1,6000,0,0,0,0,,0,,7400,,,,,,
"57-59 Pembroke St W, Pembroke",X12097993,inactive,700000,,,2,3500,0,0,0,0,,2,,7261,,,,,,
"109 Pembroke St W, Pembroke",X12079554,inactive,300000,,,2,3300,0,2,0,0,,0,,3025,,,,,,
"119 Pembroke St W, Pembroke",X12173107 ,active,470000,,,2,3775,0,2,0,0,,0,,4338,,,,,,
"131 Pembroke St W, Pembroke",X12387788,active,995000,,,1,2400,0,0,0,0,,0,,9736,,,,,,
"193 Pembroke St W, Pembroke",X12238120,inactive,200000,,,1,5177,0,0,0,0,,0,,3086,,,,,,
"201 Pembroke St W, Pembroke",X12359980,active,1250000,,,2,4500,0,1,2,0,0,0,,7310,,,,,,
"51-53 Foster St, Perth",X9463847,active,850000,,,3,3229,0,3,1,0,0,0,,10241,,,,,,
